vendor,publisher_allowed
20th Century Fox,"Futurama;Others;Симпсоны"
Animation,"Others;Даша-путешественница;Заботливые мишки;Рудольф — красноносый олень;Секрет Н.И.М.Х.;Уоллес и Громит"
Anime,"Hunter X Hunter;Inuyasha;Mobile Suit Gundam;One Piece;Others;Аватар Легенда об Аанге;Блич;Клинок рассекающий демонов;Магическая битва;Наруто;Стальной Алхимик;Человек-бензопила"
Blizzard,"Diablo;Others"
Comics,"Others"
DC,"DC;Others;Бэтмен;Монстры-коммандос;Отряд самоубийц;Супермен;Тайны Смолвиля;Харли Квинн"
Disney,"Disney;Mickey Mouse & Friends;Others;Белоснежка и семь гномов;Бемби;Вверх;Винни Пух;Головоломка 2;Дамбо;Золушка;Книга джунглей;Кошмар перед Рождеством;Лило и Стич;Моана;Русалочка;Спящая красавица"
DreamWorks,"Others"
Games,"League of Legends;Mortal Kombat;Others"
HBO,"Others;Дом Дракона;Острые козырьки"
Hasbro,"Hasbro;Others"
Icons,"Others"
Konami,"Others"
Lionsgate,"Others"
Lucasfilm,"Holiday;Others;Андор;Асока;Звездные войны;Звездные войны: Опорная команда;Мандалорец"
MGM,"Others;Волшебник страны Оз;Семейка Аддамс"
Marvel,"Holiday;Marvel;Others;Rivals;Дружелюбный сосед Человек-паук;Громовержцы;Дэдпул;Железный человек;Капитан Америка;Люди Икс;Мстители;Росомаха;Стражи Галактики;Фантастическая четверка;Человек паук;Что, если...?;Это всё Агата"
Mattel,"Mattel;Others"
Movie,"Horror;Movie;Others;Славные парни"
Movies,"Others;Бестолковые (1995);Рокки"
Music,"BTS;Music;Rocks"
Netflix,"Others;Бруклин 9-9;Очень странные дела;Песочный человек;Уэнсдэй;Электрический штат"
Nintendo,"Покемон"
Sanrio,"Hello Kitty & Friends"
ScottGames,"ФНАФ"
Sega,"Соник"
Sony,"Охотники за привидениями"
Sport,"NBA;Others;Sport;WNBA;Формула-1"
TV,"Others;Парки и зоны отдыха;Пацаны"
Universal,"Chucky;Horror;Others;Американская история;Заботливые мишки;Земля до начала времён;Злая: Сказка о ведьме Запада;Как приручить дракона;Парк Юрского периода"
Viacom,"Beavis and Butt-Head;Others;TMNT"
Warner,"Godzilla Vs Kong;Horror;Mortal Kombat;Others;Властелин колец;Друзья;Марс атакует!;Оно;Том и Джерри"
Wizarding World,"Гарри Поттер"
